#>P	ENSDARG00000017466	ENSDART00000062137	ENSDARP00000062136	9	36142075	36291261	-1	neural cell adhesion molecule 2 [Source:ZFIN;Acc:ZDB-GENE-010822-1]
#>E	ENSDARE00000916675,ENSDARE00000982603,ENSDARE00000924084,ENSDARE00000970940,ENSDARE00000946208,ENSDARE00000719727,ENSDARE00000904577,ENSDARE00000350189,ENSDARE00000329963,ENSDARE00000428241,ENSDARE00000972597,ENSDARE00000428243,ENSDARE00000428244,ENSDARE00000950362,ENSDARE00000558458,ENSDARE00000954195,ENSDARE00000558466,ENSDARE00000558472,ENSDARE00000558479,ENSDARE00000558489,ENSDARE00000911797	0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0	36142072-36142186,36142636-36142660,36143239-36143257,36143278-36143337,36145493-36145508,36147269-36147476,36182117-36182294,36185996-36186117,36186228-36186347,36192184-36192357,36199441-36199537,36202041-36202228,36204639-36204789,36225866-36226011,36237498-36237658,36251518-36251644,36268132-36268266,36268680-36268823,36280993-36281199,36290913-36290976,36291196-36291261
9	36237526	36251600	-1	CD80_C2-set	22.3	36237526-36237658,36251518-36251600	PF08205	http://pfam.sanger.ac.uk/family?acc=PF08205
9	36237532	36251606	-1	Ig_V-set	24.2	36237532-36237658,36251518-36251606	PF07686	http://pfam.sanger.ac.uk/family?acc=PF07686
9	36182160	36186043	-1	Fibronectin_type3	35.9	36182160-36182294,36185996-36186043	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
9	36186259	36192346	-1	Fibronectin_type3	62.0	36186259-36186347,36192184-36192346	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
9	36199457	36202217	-1	Ig_I-set	29.8	36199457-36199537,36202041-36202217	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
9	36268187	36268776	-1	Immunoglobulin	28.1	36268187-36268266,36268680-36268776	PF00047	http://pfam.sanger.ac.uk/family?acc=PF00047
9	36237547	36251582	-1	Immunoglobulin	47.7	36237547-36237658,36251518-36251582	PF00047	http://pfam.sanger.ac.uk/family?acc=PF00047
9	36204643	36225997	-1	Ig_I-set	45.3	36204643-36204789,36225866-36225997	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
9	36237502	36251615	-1	Ig_I-set	82.8	36237502-36237658,36251518-36251615	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
9	36268175	36268812	-1	Ig_I-set	43.5	36268175-36268266,36268680-36268812	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
9	36280997	36290976	-1	Ig_I-set	60.1	36280997-36281199,36290913-36290976	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
