5	68899528	68904820	ADAM_spacer1	87.0	-	68899528	68904820	83,88,95	4	5253,-80,-175,5242	0,5145,2679,50	PF05986	http://pfam.sanger.ac.uk/family?acc=PF05986
5	68885831	68885911	Thrombospondin_1_rpt	17.9	-	68885831	68885911	83,88,95	1	80	0	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
5	68882023	68882488	Thrombospondin_1_rpt	20.5	-	68882023	68882488	83,88,95	2	451,328	0,137	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
5	68879916	68882001	Thrombospondin_1_rpt	17.0	-	68879916	68882001	83,88,95	2	2074,1993	0,92	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
5	68876137	68879849	Thrombospondin_1_rpt	28.9	-	68876137	68879849	83,88,95	2	3695,3584	0,128	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
5	68873646	68873741	PLAC	41.2	-	68873646	68873741	83,88,95	1	95	0	PF08686	http://pfam.sanger.ac.uk/family?acc=PF08686
5	68885738	68887640	Thrombospondin_1_rpt	17.8	-	68885738	68887640	83,88,95	2	1901,1719	0,183	SM00209	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00209
5	68882504	68885734	Thrombospondin_1_rpt	10.7	-	68882504	68885734	83,88,95	2	3204,3105	0,125	SM00209	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00209
5	68882035	68882497	Thrombospondin_1_rpt	25.5	-	68882035	68882497	83,88,95	2	439,337	0,125	SM00209	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00209
5	68879859	68882016	Thrombospondin_1_rpt	23.6	-	68879859	68882016	83,88,95	2	2131,2008	0,149	SM00209	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00209
5	68876134	68879855	Thrombospondin_1_rpt	38.6	-	68876134	68879855	83,88,95	2	3698,3590	0,131	SM00209	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00209
5	68873646	68876124	PLAC	10.681	-	68873646	68876124	83,88,95	2	2475,2378	0,100	PS50900	http://www.expasy.ch/prosite/PS50900
5	68885738	68887649	Thrombospondin_1_rpt	11.307	-	68885738	68887649	83,88,95	2	1901,1728	0,183	PS50092	http://www.expasy.ch/prosite/PS50092
5	68882020	68882509	Thrombospondin_1_rpt	10.121	-	68882020	68882509	83,88,95	2	454,349	0,140	PS50092	http://www.expasy.ch/prosite/PS50092
5	68882510	68885734	Thrombospondin_1_rpt	8.312000000000001	-	68882510	68885734	83,88,95	2	3198,3105	0,119	PS50092	http://www.expasy.ch/prosite/PS50092
5	68876134	68879867	Thrombospondin_1_rpt	12.017999999999999	-	68876134	68879867	83,88,95	2	3698,3602	0,131	PS50092	http://www.expasy.ch/prosite/PS50092
5	68876143	68879870	Thrombospondin_1_rpt	0.0	-	68876143	68879870	83,88,95	2	3689,3605	0,122	SSF82895	http://supfam.org/SUPERFAMILY/cgi-bin/scop.cgi?ipid=SSF82895
5	68885741	68885920	Thrombospondin_1_rpt	0.0	-	68885741	68885920	83,88,95	1	179	0	SSF82895	http://supfam.org/SUPERFAMILY/cgi-bin/scop.cgi?ipid=SSF82895
5	68879862	68882019	Thrombospondin_1_rpt	0.0	-	68879862	68882019	83,88,95	2	2128,2011	0,146	SSF82895	http://supfam.org/SUPERFAMILY/cgi-bin/scop.cgi?ipid=SSF82895
5	68882023	68882500	Thrombospondin_1_rpt	0.0	-	68882023	68882500	83,88,95	2	451,340	0,137	SSF82895	http://supfam.org/SUPERFAMILY/cgi-bin/scop.cgi?ipid=SSF82895
5	68887647	68891036	Thrombospondin_1_rpt	0.0	-	68887647	68891036	83,88,95	4	3385,-11,-52,3271	0,2707,2007,118	SSF82895	http://supfam.org/SUPERFAMILY/cgi-bin/scop.cgi?ipid=SSF82895
5	68882507	68885740	Thrombospondin_1_rpt	0.0	-	68882507	68885740	83,88,95	2	3201,3111	0,122	SSF82895	http://supfam.org/SUPERFAMILY/cgi-bin/scop.cgi?ipid=SSF82895
