15	37044163	37048599	PKD1_2_channel	24.3	-	37044163	37048599	83,88,95	5	4403,-200,-162,-92,4250	0,4314,3692,3423,186	PF08016	http://pfam.sanger.ac.uk/family?acc=PF08016
15	37044181	37048587	Ion_trans_dom	90.0	-	37044181	37048587	83,88,95	5	4385,-200,-162,-92,4238	0,4296,3674,3405,168	PF00520	http://pfam.sanger.ac.uk/family?acc=PF00520
15	37057864	37058052	TRP_dom	90.5	-	37057864	37058052	83,88,95	1	188	0	PF08344	http://pfam.sanger.ac.uk/family?acc=PF08344
15	37041687	37041728	TRPC_channel	582.0	-	37041687	37041728	83,88,95	1	41	0	PR01097	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01097&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01097
15	37041771	37044171	TRPC_channel	511.0	-	37041771	37044171	83,88,95	2	2386,2374	0,26	PR01097	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01097&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01097
15	37044172	37044237	TRPC_channel	624.0	-	37044172	37044237	83,88,95	1	65	0	PR01097	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01097&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01097
15	37037884	37041286	TRPC2_channel	737.0	-	37037884	37041286	83,88,95	2	3399,3329	0,73	PR01643	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01643&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01643
15	37041287	37041367	TRPC2_channel	956.0	-	37041287	37041367	83,88,95	1	80	0	PR01643	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01643&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01643
15	37041392	37041553	TRPC2_channel	553.0	-	37041392	37041553	83,88,95	2	117,138	0,23	PR01643	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01643&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01643
15	37047809	37048313	TRPC2_channel	738.0	-	37047809	37048313	83,88,95	2	468,458	0,46	PR01643	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01643&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01643
15	37058005	37058505	Ankyrin_rpt-contain_dom	0.0	-	37058005	37058505	83,88,95	1	500	0	SSF48403	http://supfam.org/SUPERFAMILY/cgi-bin/scop.cgi?ipid=SSF48403
