6	46974602	47186447	ANF_lig-bd_rcpt	327.1	-	46974602	47186447	83,88,95	7	211558,-216,-135,-154,-140,-200,211772	0,101999,65681,59432,56314,19166,73	PF01094	http://pfam.sanger.ac.uk/family?acc=PF01094
6	46945953	46971761	GPCR_3_C	275.4	-	46945953	46971761	83,88,95	2	25155,25716	0,92	PF00003	http://pfam.sanger.ac.uk/family?acc=PF00003
6	46971861	46972004	GPCR_3_9-Cys_dom	48.4	-	46971861	46972004	83,88,95	1	143	0	PF07562	http://pfam.sanger.ac.uk/family?acc=PF07562
6	47186505	47186543	GPCR_3	535.0	-	47186505	47186543	83,88,95	1	38	0	PR00248	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00248&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00248
6	47186409	47186456	GPCR_3	544.0	-	47186409	47186456	83,88,95	1	47	0	PR00248	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00248&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00248
6	47186352	47186411	GPCR_3	696.0	-	47186352	47186411	83,88,95	1	59	0	PR00248	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00248&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00248
6	47076584	47186222	GPCR_3	878.0	-	47076584	47186222	83,88,95	2	109576,109621	0,17	PR00248	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00248&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00248
6	47076506	47076565	GPCR_3	686.0	-	47076506	47076565	83,88,95	1	59	0	PR00248	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00248&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00248
6	47076458	47076508	GPCR_3	542.0	-	47076458	47076508	83,88,95	1	50	0	PR00248	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00248&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00248
6	47076407	47076460	GPCR_3	602.0	-	47076407	47076460	83,88,95	1	53	0	PR00248	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00248&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00248
6	46971639	46971707	GPCR_3	860.0	-	46971639	46971707	83,88,95	1	68	0	PR00248	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00248&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00248
6	46971507	46971572	GPCR_3	626.0	-	46971507	46971572	83,88,95	1	65	0	PR00248	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00248&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00248
6	46971384	46971455	GPCR_3	534.0	-	46971384	46971455	83,88,95	1	71	0	PR00248	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00248&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00248
6	46971204	46971275	GPCR_3	791.0	-	46971204	46971275	83,88,95	1	71	0	PR00248	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00248&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00248
6	46971141	46971206	GPCR_3	942.0	-	46971141	46971206	83,88,95	1	65	0	PR00248	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00248&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00248
6	47186547	47186603	GPCR_3_mtglu_rcpt_4	365.0	-	47186547	47186603	83,88,95	1	56	0	PR01054	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01054&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01054
6	47186238	47186288	GPCR_3_mtglu_rcpt_4	690.0	-	47186238	47186288	83,88,95	1	50	0	PR01054	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01054&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01054
6	47033980	47034033	GPCR_3_mtglu_rcpt_4	760.0	-	47033980	47034033	83,88,95	1	53	0	PR01054	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01054&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01054
