#>P	ENSMUSG00000090093	ENSMUST00000109060	ENSMUSP00000104688	2	175130131	175141934	-1	predicted gene 14399 [Source:MGI Symbol;Acc:MGI:3650082]
#>E	ENSMUSE00000889503,ENSMUSE00001047895,ENSMUSE00001029575,ENSMUSE00000678908	0,0,0,0	175130128-175131769,175132929-175132989,175133196-175133322,175141932-175141934
2	175132988	175133319	-1	KRAB	69.4	175132988-175132989,175133196-175133319	PF01352	http://pfam.sanger.ac.uk/family?acc=PF01352
2	175130743	175130814	-1	Znf_C2H2	173.9	175130743-175130814	PF13912	http://pfam.sanger.ac.uk/family?acc=PF13912
2	175130578	175130646	-1	Znf_C2H2	173.9	175130578-175130646	PF13912	http://pfam.sanger.ac.uk/family?acc=PF13912
2	175130830	175130898	-1	Znf_C2H2	173.9	175130830-175130898	PF13912	http://pfam.sanger.ac.uk/family?acc=PF13912
2	175131334	175131402	-1	Znf_C2H2	173.9	175131334-175131402	PF13912	http://pfam.sanger.ac.uk/family?acc=PF13912
2	175131502	175131570	-1	Znf_C2H2	173.9	175131502-175131570	PF13912	http://pfam.sanger.ac.uk/family?acc=PF13912
2	175131583	175131657	-1	Znf_C2H2	173.9	175131583-175131657	PF13912	http://pfam.sanger.ac.uk/family?acc=PF13912
2	175130914	175130982	-1	Znf_C2H2	173.9	175130914-175130982	PF13912	http://pfam.sanger.ac.uk/family?acc=PF13912
2	175131250	175131318	-1	Znf_C2H2	309.1	175131250-175131318	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
2	175131082	175131150	-1	Znf_C2H2	309.1	175131082-175131150	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
2	175131418	175131486	-1	Znf_C2H2	309.1	175131418-175131486	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
2	175131166	175131234	-1	Znf_C2H2	309.1	175131166-175131234	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
2	175130242	175130310	-1	Znf_C2H2	309.1	175130242-175130310	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
