#>P	ENSG00000101680	ENST00000389658	ENSP00000374309	18	6942082	7117720	-1	laminin subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:6481]
#>E	ENSE00001946648,ENSE00003505325,ENSE00003462654,ENSE00003592447,ENSE00003569485,ENSE00003630759,ENSE00003514765,ENSE00003510647,ENSE00003611736,ENSE00003549910,ENSE00003610164,ENSE00003459837,ENSE00003694682,ENSE00003585190,ENSE00003663833,ENSE00003582004,ENSE00003528096,ENSE00003505944,ENSE00003572116,ENSE00003545044,ENSE00003460732,ENSE00003561123,ENSE00003470271,ENSE00003622576,ENSE00003459797,ENSE00003653032,ENSE00003565170,ENSE00003666767,ENSE00003590113,ENSE00003672384,ENSE00003471442,ENSE00003585077,ENSE00003574031,ENSE00003507719,ENSE00003460060,ENSE00003628335,ENSE00003616571,ENSE00003487476,ENSE00003490075,ENSE00003642646,ENSE00003534418,ENSE00003608606,ENSE00003588557,ENSE00003611112,ENSE00003670786,ENSE00003661585,ENSE00003599704,ENSE00003658196,ENSE00003670306,ENSE00003668329,ENSE00003532136,ENSE00003503111,ENSE00003561545,ENSE00003460610,ENSE00001506567,ENSE00001506568,ENSE00003652897,ENSE00003539306,ENSE00003481796,ENSE00003666451,ENSE00003531757,ENSE00003564231,ENSE00001497139	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	6942079-6942239,6943180-6943402,6947163-6947296,6948403-6948556,6949101-6949259,6950782-6950971,6955353-6955465,6956636-6956765,6958477-6958662,6959341-6959492,6961586-6961759,6961945-6962059,6964662-6964803,6965288-6965432,6966147-6966297,6971857-6971981,6973057-6973207,6974903-6975036,6975937-6976080,6977727-6977881,6978196-6978378,6980521-6980637,6982497-6982590,6983099-6983234,6985237-6985400,6985527-6985643,6986137-6986347,6992561-6992720,6993641-6993752,6995357-6995446,6997742-6997884,6999445-6999638,6999911-6999997,7002264-7002385,7007139-7007276,7008488-7008608,7009239-7009366,7010200-7010385,7011300-7011479,7011995-7012138,7013815-7014051,7015722-7015858,7016491-7016671,7017278-7017384,7023164-7023375,7024380-7024466,7025979-7026106,7032066-7032176,7032984-7033095,7034479-7034690,7035987-7036088,7037578-7037751,7038810-7038950,7040076-7040236,7042145-7042250,7043227-7043405,7044722-7044839,7046278-7046367,7049078-7049257,7050694-7050936,7079975-7080087,7080287-7080457,7117660-7117720
18	6975994	6978355	-1	Laminin_domII	154.4	6975994-6976080,6977727-6977881,6978196-6978355	PF06009	http://pfam.sanger.ac.uk/family?acc=PF06009
18	7046332	7080452	-1	Laminin_N	236.2	7046332-7046367,7049078-7049257,7050694-7050936,7079975-7080087,7080287-7080452	PF00055	http://pfam.sanger.ac.uk/family?acc=PF00055
18	7008563	7011335	-1	Laminin_IV	209.5	7008563-7008608,7009239-7009366,7010200-7010385,7011300-7011335	PF00052	http://pfam.sanger.ac.uk/family?acc=PF00052
18	7033026	7037613	-1	Laminin_IV	209.5	7033026-7033095,7034479-7034690,7035987-7036088,7037578-7037613	PF00052	http://pfam.sanger.ac.uk/family?acc=PF00052
18	6971910	6975990	-1	Laminin_G	516.4	6971910-6971981,6973057-6973207,6974903-6975036,6975937-6975990	PF00054	http://pfam.sanger.ac.uk/family?acc=PF00054
18	6961999	6966200	-1	Laminin_G	516.4	6961999-6962059,6964662-6964803,6965288-6965432,6966147-6966200	PF00054	http://pfam.sanger.ac.uk/family?acc=PF00054
18	6942160	6947249	-1	Laminin_G	516.4	6942160-6942239,6943180-6943402,6947163-6947249	PF00054	http://pfam.sanger.ac.uk/family?acc=PF00054
18	6948497	6950952	-1	Laminin_G	516.4	6948497-6948556,6949101-6949259,6950782-6950952	PF00054	http://pfam.sanger.ac.uk/family?acc=PF00054
18	6956759	6961672	-1	Laminin_G	516.4	6956759-6956765,6958477-6958662,6959341-6959492,6961586-6961672	PF00054	http://pfam.sanger.ac.uk/family?acc=PF00054
18	6985530	6997825	-1	Laminin_aI	272.1	6985530-6985643,6986137-6986347,6992561-6992720,6993641-6993752,6995357-6995446,6997742-6997825	PF06008	http://pfam.sanger.ac.uk/family?acc=PF06008
18	7015725	7015856	-1	Laminin_EGF	401.4	7015725-7015856	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
18	6999590	7002292	-1	Laminin_EGF	401.4	6999590-6999638,6999911-6999997,7002264-7002292	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
18	7002299	7007192	-1	Laminin_EGF	401.4	7002299-7002385,7007139-7007192	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
18	7040151	7042217	-1	Laminin_EGF	401.4	7040151-7040236,7042145-7042217	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
18	7032153	7033025	-1	Laminin_EGF	401.4	7032153-7032176,7032984-7033025	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
18	7013923	7014048	-1	Laminin_EGF	401.4	7013923-7014048	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
18	7016636	7017382	-1	Laminin_EGF	401.4	7016636-7016671,7017278-7017382	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
18	7007250	7008529	-1	Laminin_EGF	401.4	7007250-7007276,7008488-7008529	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
18	7016501	7016629	-1	Laminin_EGF	401.4	7016501-7016629	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
18	7044741	7046328	-1	Laminin_EGF	401.4	7044741-7044839,7046278-7046328	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
18	7026017	7032116	-1	Laminin_EGF	401.4	7026017-7026106,7032066-7032116	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
18	7043227	7043403	-1	Laminin_EGF	401.4	7043227-7043403	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
18	7023168	7023320	-1	Laminin_EGF	401.4	7023168-7023320	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
18	7023327	7026010	-1	Laminin_EGF	401.4	7023327-7023375,7024380-7024466,7025979-7026010	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
18	7038873	7040138	-1	Laminin_EGF	401.4	7038873-7038950,7040076-7040138	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
18	6999455	6999583	-1	Laminin_EGF	401.4	6999455-6999583	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
18	7012061	7013910	-1	Laminin_EGF	401.4	7012061-7012138,7013815-7013910	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
