#>P	ENSG00000196605	ENST00000397902	ENSP00000380999	19	9757478	9764950	-1	zinc finger protein 846 [Source:HGNC Symbol;Acc:HGNC:27260]
#>E	ENSE00003553888,ENSE00001530657,ENSE00001530659,ENSE00003541670,ENSE00003528913	0,0,0,0,0	9757475-9758764,9759860-9759942,9762082-9762168,9763282-9763408,9764936-9764950
19	9763283	9763405	-1	KRAB	86	9763283-9763405	PF01352	http://pfam.sanger.ac.uk/family?acc=PF01352
19	9757862	9757936	-1	Znf_C2H2	314.9	9757862-9757936	PF13465	http://pfam.sanger.ac.uk/family?acc=PF13465
19	9757577	9757645	-1	Znf_C2H2	95.4	9757577-9757645	PF13912	http://pfam.sanger.ac.uk/family?acc=PF13912
19	9757496	9757561	-1	Znf_C2H2	245.5	9757496-9757561	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
19	9758081	9758149	-1	Znf_C2H2	245.5	9758081-9758149	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
19	9757997	9758065	-1	Znf_C2H2	245.5	9757997-9758065	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
19	9758333	9758401	-1	Znf_C2H2	245.5	9758333-9758401	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
19	9758165	9758233	-1	Znf_C2H2	245.5	9758165-9758233	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
19	9757745	9757813	-1	Znf_C2H2	245.5	9757745-9757813	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
19	9757661	9757726	-1	Znf_C2H2	245.5	9757661-9757726	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
19	9758249	9758317	-1	Znf_C2H2	245.5	9758249-9758317	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
