#>P	ENSG00000141367	ENST00000621829	ENSP00000479606	17	59620132	59693849	1	clathrin heavy chain [Source:HGNC Symbol;Acc:HGNC:2092]
#>E	ENSE00003720138,ENSE00002455505,ENSE00000948100,ENSE00003609165,ENSE00003611615,ENSE00000948103,ENSE00003687470,ENSE00003459447,ENSE00000948106,ENSE00000948107,ENSE00003686268,ENSE00003593471,ENSE00000948110,ENSE00002214061,ENSE00001689879,ENSE00003574074,ENSE00000948114,ENSE00001159098,ENSE00001605197,ENSE00000948117,ENSE00000948118,ENSE00000948119,ENSE00000948120,ENSE00000948121,ENSE00000948122,ENSE00000948123,ENSE00000948124,ENSE00000948125,ENSE00002922394,ENSE00002813683,ENSE00002949725,ENSE00003737916	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	59620132-59620173,59644276-59644495,59647398-59647666,59648240-59648401,59651203-59651316,59655854-59656027,59660391-59660588,59661443-59661643,59663842-59663994,59664787-59664909,59666103-59666240,59666480-59666644,59666797-59666977,59668777-59668940,59673647-59673772,59674701-59674843,59676954-59677188,59679397-59679519,59680912-59681057,59681295-59681478,59681647-59681839,59682271-59682428,59682629-59682793,59682907-59683014,59683095-59683262,59683387-59683536,59683625-59683756,59683875-59683985,59685056-59685226,59685587-59685808,59690636-59690711,59693728-59693852
17	59660412	59660483	1	Clathrin_H-chain_linker_core	53.2	59660412-59660483	PF09268	http://pfam.sanger.ac.uk/family?acc=PF09268
17	59647589	59648281	1	Clathrin_H-chain_propeller_rpt	165.2	59647589-59647666,59648240-59648281	PF01394	http://pfam.sanger.ac.uk/family?acc=PF01394
17	59648312	59651223	1	Clathrin_H-chain_propeller_rpt	165.2	59648312-59648401,59651203-59651223	PF01394	http://pfam.sanger.ac.uk/family?acc=PF01394
17	59651287	59655922	1	Clathrin_H-chain_propeller_rpt	165.2	59651287-59651316,59655854-59655922	PF01394	http://pfam.sanger.ac.uk/family?acc=PF01394
17	59655944	59660411	1	Clathrin_H-chain_propeller_rpt	165.2	59655944-59656027,59660391-59660411	PF01394	http://pfam.sanger.ac.uk/family?acc=PF01394
17	59644288	59644401	1	Clathrin_H-chain_propeller_rpt	165.2	59644288-59644401	PF01394	http://pfam.sanger.ac.uk/family?acc=PF01394
17	59682967	59683684	1	Clathrin_H-chain/VPS_repeat	686.5	59682967-59683014,59683095-59683262,59683387-59683536,59683625-59683684	PF00637	http://pfam.sanger.ac.uk/family?acc=PF00637
17	59683703	59685676	1	Clathrin_H-chain/VPS_repeat	686.5	59683703-59683756,59683875-59683985,59685056-59685226,59685587-59685676	PF00637	http://pfam.sanger.ac.uk/family?acc=PF00637
17	59681782	59682942	1	Clathrin_H-chain/VPS_repeat	686.5	59681782-59681839,59682271-59682428,59682629-59682793,59682907-59682942	PF00637	http://pfam.sanger.ac.uk/family?acc=PF00637
17	59680927	59681754	1	Clathrin_H-chain/VPS_repeat	686.5	59680927-59681057,59681295-59681478,59681647-59681754	PF00637	http://pfam.sanger.ac.uk/family?acc=PF00637
17	59664889	59666883	1	Clathrin_H-chain/VPS_repeat	686.5	59664889-59664909,59666103-59666240,59666480-59666644,59666797-59666883	PF00637	http://pfam.sanger.ac.uk/family?acc=PF00637
17	59674806	59679501	1	Clathrin_H-chain/VPS_repeat	686.5	59674806-59674843,59676954-59677188,59679397-59679501	PF00637	http://pfam.sanger.ac.uk/family?acc=PF00637
17	59666911	59674760	1	Clathrin_H-chain/VPS_repeat	686.5	59666911-59666977,59668777-59668940,59673647-59673772,59674701-59674760	PF00637	http://pfam.sanger.ac.uk/family?acc=PF00637
